scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,n_years_at_cell,transient,hull_search_radius_m,n_hull_candidates,hull_length_m,hull_aspect,hull_size_class,hull_nir_snr,hull_offset_m
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.230586,48.832258,47.7,117.1,117.1,0.087,2.46,0,4.028,AB,,>24m,1,1,88.5,2,33.0,1.83,>24m,14.53,9.5
20220625_182034_44_2440,2022-06-25T18:20:34.440435Z,-125.224088,48.827442,24.5,55.9,55.9,0.1471,2.29,0,4.232,A,,>24m,1,1,58.0,0,,,,,
20220725_185511_20_248e,2022-07-25T18:55:11.206340Z,-125.22755,48.780751,56.1,117.1,117.1,0.5329,2.09,0,5.257,AB,,>24m,1,1,88.5,1,37.8,1.62,>24m,26.34,38.3
20220725_185511_20_248e,2022-07-25T18:55:11.206340Z,-125.259623,48.813399,29.2,78.1,78.1,0.1211,2.67,1,1.369,AB,,>24m,1,1,69.0,3,6.0,2.0,0-12m,7.57,56.9
20220726_185457_24_2490,2022-07-26T18:54:57.246800Z,-125.259946,48.831964,89.6,44.8,89.6,0.498,2.0,0,2.388,AB,,>24m,1,1,74.8,2,75.0,2.78,>24m,26.56,5.8
20220726_185457_24_2490,2022-07-26T18:54:57.246800Z,-125.237247,48.819951,56.7,125.6,125.6,0.0804,2.22,0,3.071,AB,,>24m,1,1,92.8,5,60.4,1.96,>24m,27.61,56.6
20220816_182157_60_2457,2022-08-16T18:21:57.609790Z,-125.21634,48.78036,33.0,123.2,123.2,0.0524,3.74,1,5.894,AB,,>24m,1,1,91.6,1,90.2,1.12,>24m,60.03,39.4
20230606_182515_18_245c,2023-06-06T18:25:15.188284Z,-125.281271,48.82327,70.3,143.7,143.7,0.1281,2.05,0,1.032,A,,>24m,1,1,101.8,0,,,,,
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,-125.235903,48.848435,33.0,71.4,71.4,0.5868,2.16,0,4.91,A,,>24m,1,1,65.7,0,,,,,
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,-125.223601,48.815535,59.1,127.0,127.0,0.3397,2.15,0,4.006,AB,,>24m,1,1,93.5,2,48.0,2.29,>24m,22.82,34.2
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,-125.235796,48.848412,19.1,84.4,84.4,0.247,4.41,1,4.913,A,,>24m,1,1,72.2,0,,,,,
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,-125.279207,48.832242,26.3,56.0,56.0,0.1874,2.13,0,2.007,A,,>24m,1,1,58.0,0,,,,,
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,-125.241225,48.775167,33.4,70.5,70.5,0.1775,2.11,0,5.119,A,,>24m,1,1,65.2,0,,,,,
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,-125.230101,48.805725,30.4,68.0,68.0,0.1591,2.24,0,3.652,A,,>24m,1,1,64.0,0,,,,,
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,-125.299429,48.833417,23.1,48.5,48.5,0.1507,2.1,0,2.639,A,,>24m,1,1,54.2,0,,,,,
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,-125.219595,48.796231,141.3,46.2,141.3,0.126,3.06,1,4.739,AB,,>24m,1,1,100.7,2,66.0,3.67,>24m,16.8,24.2
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,-125.252491,48.786144,26.0,56.3,56.3,0.1012,2.17,0,3.647,A,,>24m,1,1,58.1,0,,,,,
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,-125.246311,48.77084,61.6,125.7,125.7,0.0937,2.04,0,5.36,AB,,>24m,1,1,92.8,1,25.8,2.34,>24m,8.97,73.6
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,-125.320177,48.811908,36.2,73.8,73.8,0.0873,2.04,0,3.079,A,,>24m,1,1,66.9,0,,,,,
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,-125.346189,48.829094,16.2,64.2,64.2,0.0838,3.97,1,5.241,A,,>24m,1,1,62.1,0,,,,,
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,-125.262041,48.77641,64.7,145.8,145.8,0.074,2.26,0,4.367,A,,>24m,1,1,102.9,0,,,,,
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,-125.346225,48.812495,14.3,30.7,30.7,0.059,2.15,0,4.979,A,,>24m,1,1,45.4,0,,,,,
20230714_182421_54_24b6,2023-07-14T18:24:21.547996Z,-125.21212,48.859071,26.0,11.7,26.0,0.0509,2.22,0,6.953,A,,>24m,1,1,43.0,0,,,,,
20230719_182055_22_2449,2023-07-19T18:20:55.227898Z,-125.25666,48.859068,27.1,12.6,27.1,0.1132,2.14,0,5.234,A,,>24m,1,1,43.5,0,,,,,
20230719_182055_22_2449,2023-07-19T18:20:55.227898Z,-125.242662,48.792554,19.6,47.8,47.8,0.0714,2.44,0,3.549,A,,>24m,1,1,53.9,0,,,,,
20230719_182055_22_2449,2023-07-19T18:20:55.227898Z,-125.245407,48.859065,51.0,20.2,51.0,0.0547,2.53,1,5.539,A,,>24m,1,1,55.5,0,,,,,
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.30162,48.821679,29.4,77.6,77.6,0.1057,2.63,1,1.901,AB,,>24m,1,1,68.8,1,24.0,4.0,>24m,8.36,7.9
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.217266,48.797639,23.0,47.3,47.3,0.073,2.06,0,4.833,AB,,>24m,1,1,53.6,2,42.0,3.5,>24m,13.76,42.9
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.298444,48.847387,21.5,63.5,63.5,0.061,2.95,1,3.974,AB,,>24m,1,1,61.8,4,45.0,2.42,>24m,13.71,28.0
20240712_193845_41_2438,2024-07-12T19:38:45.411029Z,-125.253693,48.835126,31.6,72.9,72.9,0.1351,2.3,0,2.942,AB,,>24m,1,1,66.5,1,18.0,1.5,12-24m,14.15,2.4
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.326669,48.815464,31.2,71.4,71.4,0.4098,2.29,0,3.546,A,,>24m,1,1,65.7,0,,,,,
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.282487,48.839594,37.5,81.6,81.6,0.3338,2.18,0,2.84,AB,,>24m,1,1,70.8,1,9.0,1.5,0-12m,8.24,10.2
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.290568,48.813107,23.9,55.2,55.2,0.3025,2.31,0,0.908,AB,,>24m,1,1,57.6,1,6.0,2.0,0-12m,6.94,10.5
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.266049,48.848103,24.5,90.4,90.4,0.2454,3.7,1,3.875,AB,,>24m,1,1,75.2,1,54.0,2.48,>24m,15.22,11.5
