scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,fill,width_m,n_px,n_years_at_cell,transient
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.225579,48.794658,13.9,21.9,21.9,0.9832,1.58,0,4.439,B,23.86,12-24m,0.6197,13.9,21,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.314118,48.852795,12.0,15.0,15.0,0.9829,1.25,0,5.034,B,23.75,12-24m,0.8,12.0,16,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.255924,48.83013,24.5,91.7,91.7,0.9819,3.75,1,2.415,B,23.48,>24m,0.521,24.5,130,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.321917,48.852073,33.4,96.0,96.0,0.9812,2.88,1,5.292,B,23.3,>24m,0.5032,33.4,179,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.31459,48.828378,15.0,21.0,21.0,0.9808,1.4,0,3.098,B,23.19,12-24m,0.7143,15.0,25,1,1
20210812_194340_68_1058,2021-08-12T19:43:40.689537Z,-125.31046,48.857434,11.5,15.7,15.7,0.98,1.37,0,5.357,B,22.99,12-24m,0.6975,11.5,14,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.256786,48.829457,27.1,88.7,88.7,0.9797,3.27,1,2.317,B,22.89,>24m,0.5535,27.1,148,1,1
20210812_194340_68_1058,2021-08-12T19:43:40.689537Z,-125.22202,48.830025,36.5,67.4,67.4,0.9787,1.84,0,4.49,B,22.66,>24m,0.5153,36.5,141,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.333928,48.85464,45.4,104.0,104.0,0.9779,2.29,0,6.076,B,22.47,>24m,0.4804,45.4,252,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.28216,48.807106,12.0,15.0,15.0,0.9776,1.25,0,0.839,B,22.39,12-24m,0.95,12.0,19,1,1
20250825_193929_84_251f,2025-08-25T19:39:29.847462Z,-125.236995,48.846108,27.1,40.6,40.6,0.9766,1.49,0,4.667,B,22.19,>24m,0.7436,27.1,91,1,1
20230714_182421_54_24b6,2023-07-14T18:24:21.547996Z,-125.22871,48.787118,13.6,15.7,15.7,0.9764,1.16,0,4.725,B,22.14,12-24m,0.757,13.6,18,1,1
