scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,fill,width_m,n_px,n_years_at_cell,transient
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.337654,48.848811,3.0,6.0,6.0,0.6144,2.0,0,5.815,B,7.16,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.328413,48.848418,3.0,6.0,6.0,0.5707,2.0,0,5.294,B,6.49,0-12m,1.0,3.0,2,4,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.32854,48.848107,27.2,51.9,51.9,0.9825,1.91,0,5.276,B,23.66,>24m,0.6063,27.2,95,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.222328,48.849936,11.4,21.0,21.0,0.8014,1.84,0,5.715,B,11.03,12-24m,0.6767,11.4,18,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.237712,48.849486,3.0,6.0,6.0,0.5654,2.0,0,4.926,B,6.41,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.237402,48.849461,15.0,42.0,42.0,0.9546,2.8,1,4.938,B,18.81,>24m,0.7571,15.0,53,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.277487,48.84864,3.0,6.0,6.0,0.6144,2.0,0,3.83,B,7.16,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.237829,48.849436,6.0,9.0,9.0,0.5742,1.5,0,4.917,B,6.54,0-12m,0.8333,6.0,5,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.238155,48.849316,3.0,6.0,6.0,0.6272,2.0,0,4.892,B,7.37,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.239331,48.849104,3.0,6.0,6.0,0.7164,2.0,0,4.821,B,9.0,0-12m,1.0,3.0,2,1,1
